planet,day,x,y,z
Venus,343.7875751503006,105987053.2574168,22795417.724934258,-5806810.261675836
Venus,344.5190380761523,105491592.76168512,24944319.169806242,-5748838.509848705
Venus,345.250501002004,104952420.16675699,27082884.4867312,-5688484.637228889
Venus,345.9819639278557,104369742.8731092,29210223.394180693,-5625772.784427623
Venus,346.7134268537074,103743786.31117004,31325449.56435655,-5560728.078842386
Venus,347.4448897795591,103074793.87719244,33427680.987283945,-5493376.625978794
Venus,348.1763527054108,102363026.86188263,35516040.33432707,-5423745.500362168
Venus,348.9078156312625,101608764.37176667,37589655.320980996,-5351862.736039772
Venus,349.6392785571142,100812303.24327725,39647659.06879951,-5277757.316674614
Venus,350.3707414829659,99973957.9495462,41689190.46631623,-5201459.1652319385
Venus,351.1022044088176,99094060.49989197,43713394.52881115,-5122999.1332597835
Venus,351.8336673346693,98172960.3319922,45719422.756778434,-5042408.98976503
Venus,352.565130260521,97211024.19673726,47706433.492943026,-4959721.409686764
Venus,353.2965931863727,96208636.03575926,49673592.27768168,-4874969.961968624
Venus,354.0280561122244,95166196.85163867,51620072.20269172,-4788189.097232404
Venus,354.7595190380761,94084124.57079075,53545054.26275834,-4699414.13505505
Venus,355.4909819639278,92962853.89903827,55447727.70546454,-4608681.250851591
Venus,356.2224448897795,91802836.16987976,57327290.37869042,-4516027.462366602
Venus,356.9539078156312,90604539.18546759,59182949.07574235,-4421490.615777229
Venus,357.6853707414829,89368447.05030969,61013919.87795973,-4325109.37141063
Venus,358.41683366733463,88095059.99771757,62819428.49463497,-4226923.189079412
Venus,359.14829659318633,86784894.2090225,64598710.60009187,-4126972.3130384237
Venus,359.87975951903803,85438481.6255868,66351012.167760566,-4025297.7565666726
Venus,360.61122244488973,84056369.75364289,68075589.80108693,-3921941.286178488
Venus,361.34268537074144,82639121.46199168,69771711.06111851,-3816945.4054678716
Venus,362.07414829659314,81187314.77260228,71438654.7906001,-3710353.338590784
Venus,362.8056112224449,79701542.64415191,73075711.43442139,-3602209.0133897355
Venus,363.5370741482966,78182412.74855739,74682183.35624738,-3492557.04416597
Venus,364.2685370741483,76630547.24054135,76257385.1511773,-3381442.7141038426
Venus,365.0,75046582.5202959,77800643.95425913,-3268911.957353377
Earth,0.0,-29369457.807797622,144138782.86410245,0.0
Earth,0.7314629258517034,-31242302.811865453,143743875.00240177,0.0
Earth,1.4629258517034067,-33109945.18174329,143325030.14913797,0.0
Earth,2.19438877755511,-34972073.888918065,142882317.96918073,0.0
Earth,2.9258517034068134,-36828378.8694599,142415812.30091915,0.0
Earth,3.657314629258517,-38678551.08339549,141925591.1420388,0.0
Earth,4.38877755511022,-40522282.57384878,141411736.63436803,0.0
Earth,5.1202404809619235,-42359266.525931135,140874335.0477974,0.0
Earth,5.851703406813627,-44189197.32536551,140313476.76327685,0.0
Earth,6.58316633266533,-46011770.616826154,139729256.2548967,0.0
Earth,7.314629258517034,-47826683.36197925,139121772.0710568,0.0
Earth,8.046092184368737,-49633633.89720693,138491126.81473094,0.0
Earth,8.77755511022044,-51432321.990999475,137837427.12283117,0.0
Earth,9.509018036072144,-53222448.900998734,137160783.64468056,0.0
Earth,10.240480961923847,-55003717.43067733,136461311.01959938,0.0
Earth,10.97194388777555,-56775831.98563881,135739127.85361275,0.0
Earth,11.703406813627254,-58538498.62952007,134994356.6952882,0.0
Earth,12.434869739478957,-60291425.139485255,134227124.010709,0.0
Earth,13.16633266533066,-62034321.06129221,133437560.15759294,0.0
Earth,13.897795591182364,-63766897.76391832,132625799.3585647,0.0
Earth,14.629258517034067,-65488868.493730195,131791979.67359066,0.0
Earth,15.36072144288577,-67199948.4281826,130936242.97158481,0.0
Earth,16.092184368737474,-68899854.72903326,130058734.90119565,0.0
Earth,16.82364729458918,-70588306.59505765,129159604.86078387,0.0
Earth,17.55511022044088,-72265025.31425184,128239005.9675999,0.0
Earth,18.286573146292582,-73929734.31550798,127297095.02617247,0.0
Earth,19.018036072144287,-75582159.21974902,126334032.49591924,0.0
Earth,19.749498997995993,-77222027.89051205,125349982.45798777,0.0
Earth,20.480961923847694,-78849070.48396315,124345112.58134128,0.0
Earth,21.212424849699396,-80463019.49833447,123319594.08809781,0.0
Earth,21.9438877755511,-82063609.82277001,122273601.71813534,0.0
Earth,22.675350701402806,-83650578.78556661,121207313.69297545,0.0
Earth,23.406813627254508,-85223666.20180105,120120911.6789554,0.0
Earth,24.13827655310621,-86782614.42032842,119014580.74970359,0.0
Earth,24.869739478957914,-88327168.37014367,117888509.34792808,0.0
Earth,25.60120240480962,-89857075.60609235,116742889.24653323,0.0
Earth,26.33266533066132,-91372086.35392225,115577915.50907555,0.0
Earth,27.064128256513023,-92871953.55466358,114393786.44957298,0.0
Earth,27.795591182364728,-94356432.9083288,113190703.59168005,0.0
Earth,28.527054108216433,-95825282.91692209,111968871.62724274,0.0
